Nordjylland, nordjyde, nordjysk
Sønderjylland, sønderjyde, sønderjysk
Fyn, fynbo, fynsk
København, københavner, københavnsk
Jylland, jyde, jysk
Midtjylland, midtjyde, midtjysk
Vestjylland, vestjyde, vestjysk
Østjylland, østjyde, østjysk
Sjælland, sjællænder, sjællandsk
Nordsjælland, nordsjællænder, nordsjællandsk
Sydsjælland, sydsjællænder, sydsjællandsk
Aarhus, aarhusianer, aarhusiansk
Aalborg, aalborgenser, aalborgensisk
Esbjerg, esbjergenser, esbjergensisk
Odense, odenseaner
Kolding, koldingenser
Lolland, lollænder, lollansk
Bornholm, bormholmer, bornholmsk
Paris, pariser,
London, londoner
Newyork, newyorker

